,marketCap
PKI,20994643968
PFE,287777226752
PM,142684340224
PSX,32275177472
PNW,7425780736
PXD,43840614400
PNC,85358215168
POOL,23175251968
PPG,38491725824
PPL,21751728128
PFG,19372695552
PG,360183562240
PGR,53098414080
PLD,111395020800
PRU,43044499456
PTC,13724619776
PEG,31517802496
PSA,58766360576
PHM,13605861376
PVH,8655217664
QRVO,17601851392
QCOM,210168971264
PWR,16590534656
DGX,17969887232
RL,9250055168
RJF,13451847680
RTX,131676479488
O,26538342400
REG,12698883072
REGN,69094850560
RF,22974711808
RSG,43847897088
RMD,38294515712
RHI,13204400128
ROK,40019865600
ROL,17539299328
ROP,51215613952
ROST,42683101184
RCL,21114120192
SPGI,111760736256
CRM,279427383296
SBAC,37750267904
SLB,44550795264
STX,23173390336
SEE,9908996096
SRE,37541867520
NOW,133443264512
SHW,87960297472
SPG,55647940608
SWKS,26928318464
SNA,11668300800
SO,65243369472
LUV,27422152704
SWK,31057104896
SBUX,133030076416
STT,33121423360
STE,23324370944
SYK,97878597632
SIVB,40463118336
SYF,28120309760
SNPS,53720133632
SYY,38332841984
TMUS,145851842560
TROW,47632953344
TTWO,20213753856
TPR,12782850048
TGT,124695183360
TEL,53923221504
TDY,20920375296
TFX,15421323264
TER,25081227264
TSLA,1056175751168
TXN,178674188288
TXT,16984601600
COO,19971612672
HIG,23715796992
HSY,37282050048
MOS,13983719424
TRV,39236083712
DIS,282677968896
TMO,250606452736
TJX,88194416640
TSCO,26420131840
TT,46296662016
TDG,36262268928
TRMB,22251859968
TFC,80947724288
TWTR,38701125632
TYL,22039228416
TSN,29733300224
USB,87799046144
UDR,16827576320
ULTA,22468425728
UAA,11465398272
UNP,159592153088
UAL,15347303424
UPS,181190033408
URI,27166724096
UNH,414414438400
UHS,9965127680
VLO,28238303232
VTR,20497686528
VRSN,27143432192
VRSK,36749275136
VZ,212137181184
VRTX,47996346368
VFC,29968150528
VIAC,22250526720
VTRS,16183957504
V,438459301888
VNO,8479967232
VMC,26345940992
WRB,14182425600
GWW,25131137024
WAB,17815248896
WBA,41335320576
WMT,397054509056
WM,68348649472
WAT,21123782656
WEC,28430155776
WFC,206641889280
WELL,35969433600
WST,33173415936
WDC,17069431808
WU,6895896576
WRK,12648815616
WY,28493672448
WHR,13927785472
WMB,33316122624
WLTW,29008277504
WYNN,10491336704
XEL,34622857216
XLNX,54233088000
XYL,23448670208
YUM,37836406784
ZBRA,32479219712
ZBH,26871244800
ZION,10234246144
ZTS,107129921536
